3.904619594039397956e-01 9.068024275880315344e-01 1.854171938887024140e+00
1.565160537242913097e-01 2.341441689330250597e-01 1.800720295124497827e+00
5.626169698367020633e-01 6.252446386538121903e-01 1.736223574692187466e+00
3.906072909488514378e-01 5.774383132267829621e-01 1.534618229098336561e+00
3.902280802069418852e-01 9.844623006225906581e-01 1.705629273318769901e+00
1.407082379469482003e-01 3.135485129394539883e-02 1.335873851809331159e+00
5.775575402653325696e-01 1.558449077946819604e-02 1.470894052283405085e+00
5.942054938781005102e-01 2.022144582148675263e-01 1.150911943085995537e+00
8.746010623074359502e-01 8.585875618303667745e-01 1.146634835458522961e+00
4.605454495572692403e-02 4.714859283860586836e-02 1.049181317384012990e+00
4.217610180024531363e-01 8.444609792007846671e-01 1.572059848887209732e+00
4.997430219682572061e-02 9.259279924290746422e-01 4.985778986060172141e-02
1.000000000000000000e+00 1.813990693210807970e-01 6.416418249360016091e-02
