1.400141951039157451e-01 6.241736749413812763e-02 1.926507484879896870e+00
2.187247247780577941e-01 8.468137373485931096e-01 1.942448089379086973e+00
5.631694169978967990e-01 3.571465824322741511e-01 1.872345562284392972e+00
5.630607540690529822e-01 4.971584312143379480e-01 1.830414516629730315e+00
4.690164680702232913e-01 2.522958438876335419e-01 1.725591503157852591e+00
1.690566495694025284e-01 9.735313299078069971e-01 1.396621667766751784e+00
7.992169530504021902e-01 5.789743704315306605e-01 1.276520586865138362e+00
4.482250115023492243e-01 4.880627553962706977e-01 1.234184515879816368e+00
2.630829471590473978e-01 1.568590438450533781e-02 1.437802880888786383e+00
3.407756901417373641e-01 5.010779697696035040e-01 1.123894435561891170e+00
5.599777926668357830e-01 9.466188393764761733e-01 1.047700847937030000e+00
9.417728674395522415e-01 6.671767496662933672e-01 1.014416732527729570e+00
1.907949079665848674e-02 0.000000000000000000e+00 1.289805716631617694e+00
1.909000429841191671e-01 6.269835711901505793e-01 3.095782014084618727e-01
2.974058714725549835e-01 1.888846524502162949e-01 2.661968462137858649e-01
8.733071105906180520e-01 2.949134301934366875e-01 2.609150281100890978e-01
